random_row,city,lat,temp,humidity,cloudiness,wind speed
270,dongsheng,29.72,73.67,73.0,100.0,3.13
366,panalingaan,8.78,83.57,74.0,96.0,8.21
261,barcelos,-0.97,84.47,76.0,16.0,4.27
254,bundaberg,-24.87,62.8,77.0,75.0,8.05
134,east london,-33.02,55.4,93.0,0.0,9.17
17,caconda,-13.73,61.43,27.0,0.0,2.93
542,muzhi,65.4,68.99,60.0,48.0,4.63
169,dobrinka,52.17,55.85,73.0,3.0,7.56
444,sohag,26.55,96.8,14.0,0.0,19.46
281,wasilla,61.58,72.55,56.0,1.0,4.61
295,navahrudak,53.59,54.77,80.0,45.0,9.91
424,katsuura,33.93,71.26,94.0,20.0,3.36
297,saldanha,41.42,82.31,24.0,94.0,9.13
294,santa fe,-31.62,55.2,48.0,55.0,5.01
206,dauriya,49.93,52.61,53.0,55.0,13.09
144,esperance,-33.86,53.6,100.0,90.0,8.05
371,erzin,36.95,80.49,65.0,0.0,24.16
310,salina,38.84,82.44,65.0,1.0,17.22
306,garowe,8.41,86.99,37.0,25.0,17.81
122,salta,-24.79,52.02,71.0,75.0,4.7
325,ugoofaaru,5.67,83.75,74.0,52.0,8.61
113,kavieng,-2.57,83.93,69.0,100.0,8.66
332,sydney,-33.85,55.44,100.0,75.0,5.82
32,adeje,5.68,75.65,91.0,100.0,5.61
309,xanten,51.66,72.61,40.0,0.0,3.36
409,astoria,46.19,61.59,77.0,90.0,3.36
84,carnarvon,-30.97,51.35,24.0,1.0,8.57
265,talnakh,69.49,57.2,62.0,0.0,20.13
167,high level,58.52,59.0,67.0,90.0,10.29
489,south sioux city,42.47,81.46,78.0,40.0,8.05
482,zakamensk,50.38,43.97,87.0,0.0,4.27
120,fort-shevchenko,44.51,76.91,59.0,0.0,8.12
110,korbach,51.28,70.21,45.0,0.0,5.82
82,kaitangata,-46.28,42.01,80.0,87.0,1.99
439,mackay,53.65,58.1,51.0,75.0,2.24
479,lompoc,34.64,65.82,82.0,90.0,11.41
488,pontian kecil,1.48,82.83,83.0,0.0,3.36
48,avarua,-21.21,69.8,73.0,61.0,11.41
268,cherskiy,68.75,49.91,60.0,99.0,5.48
112,mazeikiai,56.32,55.49,77.0,64.0,9.42
291,chuy,-33.69,48.47,59.0,33.0,18.81
303,khatanga,71.98,51.17,63.0,100.0,13.11
393,santa lucia,41.98,81.55,35.0,0.0,8.05
204,sao filipe,14.9,73.85,85.0,92.0,20.27
526,itupiranga,-5.13,95.0,47.0,40.0,3.36
317,leh,34.16,37.49,47.0,8.0,5.03
544,ulladulla,-35.36,47.01,100.0,90.0,9.17
327,paamiut,61.99,44.51,77.0,56.0,3.67
518,keelung,25.13,82.45,70.0,75.0,2.24
93,yar-sale,66.83,67.37,64.0,83.0,18.66
60,angostura,25.37,96.01,53.0,47.0,5.01
68,atuona,-9.8,79.97,68.0,30.0,8.14
133,ambon,47.55,80.26,39.0,0.0,9.17
323,mabaruma,8.2,82.49,88.0,64.0,3.78
494,nanortalik,60.14,43.61,72.0,2.0,5.86
462,durban,51.93,65.39,58.0,0.0,13.85
85,busselton,-33.64,48.31,98.0,78.0,28.61
174,klaksvik,62.23,48.2,100.0,100.0,13.87
466,osinki,54.14,55.31,76.0,65.0,10.2
227,mahibadhoo,3.78,83.75,72.0,44.0,6.24
455,san patricio,-26.98,58.01,51.0,0.0,9.13
235,college,64.86,62.33,67.0,90.0,4.7
331,praia,-20.25,82.4,26.0,0.0,13.87
467,finsterwalde,51.63,69.31,30.0,75.0,6.93
336,san policarpo,12.18,78.89,83.0,56.0,4.54
50,taltal,-25.41,59.27,66.0,72.0,5.57
94,ilulissat,69.22,51.8,50.0,40.0,4.7
520,huambo,-12.78,60.17,27.0,3.0,3.18
405,miri,10.31,78.35,72.0,86.0,8.48
267,bella vista,-27.03,57.2,62.0,75.0,3.36
10,vaini,15.34,78.71,87.0,100.0,6.93
56,axim,4.87,77.27,87.0,100.0,11.65
342,petrykiv,49.53,68.0,40.0,1.0,1.01
441,kadaya,50.93,46.49,59.0,77.0,10.22
454,fortuna,38.18,79.21,83.0,20.0,10.29
429,kumphawapi,17.11,74.03,90.0,100.0,12.88
61,baracoa,20.35,84.47,70.0,0.0,10.09
252,iralaya,15.0,89.6,66.0,20.0,5.82
160,menongue,-14.66,59.99,32.0,36.0,3.76
521,grindavik,63.84,51.8,87.0,40.0,17.22
509,sao miguel do araguaia,-13.28,98.15,18.0,0.0,5.91
187,elat,2.91,70.61,98.0,97.0,1.86
302,namibe,-15.19,70.61,74.0,0.0,10.76
403,port hedland,-20.31,62.6,100.0,75.0,9.17
343,ust-barguzin,53.41,44.69,67.0,33.0,0.94
398,lafiagi,8.85,79.43,85.0,80.0,4.16
381,zhanaozen,43.35,88.61,21.0,19.0,17.87
131,lima,-12.06,66.2,72.0,90.0,8.05
339,aksha,50.28,47.75,85.0,19.0,5.44
472,porto novo,-23.68,64.4,93.0,90.0,5.82
312,caravelas,-17.73,84.47,63.0,0.0,4.5
360,port lincoln,-34.72,56.75,73.0,0.0,20.76
502,abha,18.22,70.74,73.0,0.0,3.36
370,turukhansk,65.8,69.53,63.0,0.0,7.36
548,bertoua,4.58,68.81,97.0,100.0,1.92
138,sitka,37.17,91.99,48.0,0.0,14.0
225,dunedin,-45.87,44.01,72.0,94.0,24.0
153,trelew,-43.25,38.39,45.0,0.0,11.05
490,nassjo,57.65,49.87,87.0,80.0,10.29
555,miranda de ebro,42.69,83.95,51.0,40.0,11.41
88,bambous virieux,-20.34,69.64,78.0,40.0,6.93
114,hasaki,35.73,66.13,100.0,40.0,6.93
285,huatulco,15.84,91.18,59.0,75.0,5.32
311,saskylakh,71.97,47.75,86.0,77.0,11.25
408,rota,36.62,72.3,56.0,0.0,10.29
125,rocha,-34.48,45.05,64.0,25.0,20.38
73,lamu,35.77,55.13,56.0,7.0,1.32
31,port alfred,-33.59,57.99,90.0,0.0,4.0
390,brewster,41.76,82.71,48.0,1.0,8.05
334,arman,59.7,43.97,95.0,100.0,3.36
378,bereda,43.27,65.89,88.0,40.0,2.24
443,batemans bay,-35.71,43.0,96.0,91.0,1.01
286,machado,-21.69,69.8,56.0,40.0,14.81
111,lovozero,68.01,59.63,75.0,96.0,6.85
62,hermanus,-34.42,55.65,97.0,100.0,5.99
448,svetlogorsk,53.14,64.4,68.0,75.0,6.71
191,longyearbyen,78.22,50.0,61.0,40.0,24.16
417,talara,-4.58,62.6,290.0,0.0,18.34
192,maragogi,-9.01,79.61,81.0,50.0,6.98
364,yola,9.26,77.27,87.0,76.0,3.49
146,isiro,2.77,70.07,96.0,96.0,3.33
314,agadez,16.97,102.2,27.0,0.0,6.93
181,guerrero negro,27.97,64.13,86.0,0.0,11.56
215,meulaboh,4.14,84.29,69.0,100.0,4.21
300,hay river,60.82,53.6,87.0,75.0,5.82
182,saint george,39.45,85.69,30.0,40.0,5.82
554,naifaru,5.44,83.93,75.0,67.0,9.13
209,airai,-8.93,64.49,79.0,0.0,5.32
399,muisne,0.61,76.55,87.0,100.0,17.27
459,emerald,-23.53,59.31,93.0,90.0,10.29
7,jamestown,-33.21,49.73,80.0,0.0,12.57
506,grand gaube,-20.01,70.0,78.0,40.0,6.93
497,pangnirtung,66.15,51.8,57.0,75.0,10.29
355,sovetskaya gavan,48.97,48.83,99.0,79.0,1.59
83,bayan,36.1,55.13,56.0,7.0,1.32
231,saint-pierre,48.95,78.84,31.0,0.0,10.29
361,vestmannaeyjar,63.44,51.35,88.0,84.0,3.11
530,constitucion,23.99,76.03,27.0,20.0,4.7
450,kachug,53.96,49.01,57.0,10.0,2.26
299,panjab,34.38,53.33,47.0,0.0,5.88
13,rikitea,-23.12,66.83,67.0,66.0,24.27
484,vao,59.1,54.41,72.0,64.0,2.35
65,saint-francois,46.42,81.45,37.0,0.0,3.36
170,bay roberts,47.58,52.12,82.0,90.0,3.36
551,belaya gora,68.54,48.29,78.0,100.0,7.78
315,tyrma,50.04,54.59,98.0,27.0,2.19
171,pljevlja,43.36,60.8,82.0,0.0,1.12
106,tiksi,71.64,35.51,90.0,100.0,5.21
264,hofn,64.25,48.2,87.0,90.0,8.05
384,mpika,-11.84,57.47,69.0,0.0,6.42
30,palmer,-34.85,47.89,94.0,0.0,6.51
345,san carlos de bariloche,-41.13,42.8,52.0,20.0,12.75
238,flin flon,54.77,57.2,67.0,75.0,16.11
70,magadan,59.56,44.51,94.0,100.0,2.62
440,merta,26.65,90.41,53.0,25.0,19.26
67,valparaiso,41.47,87.82,28.0,40.0,9.17
333,gao,16.28,106.43,15.0,61.0,7.61
28,upernavik,72.79,42.53,70.0,0.0,10.54
226,sebezh,56.29,54.59,80.0,54.0,7.54
401,meadow lake,54.13,64.4,55.0,75.0,11.41
19,bethel,60.79,51.8,100.0,90.0,2.15
547,flinders,-34.58,55.27,100.0,90.0,9.17
358,behat,30.17,86.63,49.0,2.0,4.23
45,galle,10.08,76.55,90.0,99.0,8.05
423,panaba,21.28,86.81,64.0,3.0,10.92
212,los llanos de aridane,28.66,68.81,69.0,75.0,9.17
140,bathsheba,13.22,84.2,79.0,40.0,20.8
247,dikson,73.51,34.79,94.0,98.0,14.27
493,samarai,-10.62,70.43,92.0,79.0,3.58
21,iqaluit,63.75,46.2,70.0,40.0,19.46
152,liverpool,53.41,64.67,42.0,0.0,10.29
164,ullal,12.8,82.4,83.0,75.0,18.34
552,zhezkazgan,47.8,74.03,51.0,62.0,9.84
221,honiara,-9.43,71.6,100.0,40.0,3.36
367,vardo,39.62,86.99,70.0,90.0,9.17
57,puerto ayora,-0.74,75.78,57.0,20.0,17.22
549,komsomolskiy,67.55,67.91,74.0,41.0,11.3
3,labuhan,-2.54,71.33,94.0,70.0,1.48
193,maumere,-8.63,70.97,76.0,1.0,1.77
368,portree,57.41,55.0,96.0,100.0,10.0
27,hami,42.84,84.65,22.0,46.0,36.39
326,biak,-0.91,63.59,98.0,100.0,3.31
156,dombas,62.07,37.67,74.0,100.0,13.58
528,yining,29.04,72.95,96.0,100.0,1.19
127,kenai,60.55,75.27,47.0,1.0,5.82
351,avera,33.19,92.62,55.0,1.0,8.05
283,tuatapere,-46.13,41.0,95.0,61.0,3.0
457,kudahuvadhoo,2.67,83.57,75.0,95.0,5.86
382,shirokiy,53.87,55.99,40.0,10.0,1.99
246,lazaro cardenas,28.39,88.36,25.0,40.0,8.05
338,sovetskiy,56.76,52.25,77.0,57.0,13.65
52,te anau,-45.41,37.49,84.0,65.0,3.76
330,broken hill,-31.97,46.4,87.0,0.0,9.17
258,broome,52.47,70.48,56.0,0.0,9.17
503,abu dhabi,24.47,95.0,53.0,0.0,4.7
34,westport,41.14,88.88,48.0,1.0,5.82
292,nikel,69.41,50.0,76.0,75.0,10.29
58,coquimbo,-29.95,68.34,67.0,0.0,12.75
35,kloulklubed,7.04,77.0,88.0,75.0,8.05
319,sungaipenuh,-2.08,73.49,89.0,79.0,1.99
137,vera cruz,-12.96,82.4,78.0,20.0,14.99
214,cranbourne,-38.11,39.09,100.0,0.0,2.24
452,shelburne,44.08,86.94,48.0,20.0,12.75
64,zavyalovo,54.51,62.6,93.0,75.0,4.47
